_id,JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_LOW_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_LOW_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_LOW_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
1,STANISLAUS COUNTY,Stanislaus,2020,,010-010-036,12420 LANCASTER RD,,BLD2020-0646,MH,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-06-04,1,0,0,0,0,0,0,0,0,0,0,1,2020-10-20,1,0,N,0,0,,,0,,0,0,0,0,0,,,MANUFACTURED DWELLING - 2020 PALM HARBOR - 2835 SQ FT - 4BD 3BA (( ACA )) C/S ORANGE BLOSSOM RD,37.782452,-120.766065,"12420 Lancaster Rd, Oakdale, California, 95361",88.969999999999999
2,STANISLAUS COUNTY,Stanislaus,2020,,045-030-030,4418 Martha ST,,BLD2020-0510,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-05-19,1,0,0,0,0,0,0,0,0,0,0,1,2020-08-13,1,0,N,0,0,,,0,,0,0,0,0,0,,,CONVERT EXISTING DETACHED GARAGE / APARTMENT TO ACCESSORY DWELLING UNIT AND ADDITION OF BATHROOM,37.555557,-120.911559,"4418 Martha Ave, Keyes, California, 95328",86.159999999999997
3,STANISLAUS COUNTY,Stanislaus,2020,,024-034-002,3218,FRESNO AVE,BLD2019-2660,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-01-06,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,0,,,0,,0,0,0,0,0,,,CONVERT 328 SQ. FT. OF  EXISTING ATTACHED GARAGE TO STUDIO APARTMENT (ADU) & NEW TANKLESS W/H,37.559009,-120.997660,,82.609999999999999
4,STANISLAUS COUNTY,Stanislaus,2020,,010-082-007,11510 RODDEN RD,,BLD2019-2736,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-12,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,0,,,0,,0,0,0,0,0,,,ACCESSORY DWELLING UNIT ( 1200 SQ. FT. ) WITH 841 SQ. FT. GARAGE ATTACHED BY BREEZEWAY,37.790186,-120.784437,"11510 Rodden Rd, Oakdale, California, 95361",88.359999999999999
5,STANISLAUS COUNTY,Stanislaus,2020,,062-019-030,6939 CENTRAL AVE,,BLD2020-1893,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-10-16,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,0,,,0,,0,0,0,0,0,,,((ACA)) INSTALLATION OF MANUFACTURED HOME - ADU- SINGLE WIDE 2018 CLAYTON - 728 SQ FT              C/S HWY 108,37.496761,-120.846802,"N Center St, Turlock, California, 95380",80.25
6,STANISLAUS COUNTY,Stanislaus,2020,,010-076-023,10455,Fox Meadow,BLD2018-2037,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-11,1,0,N,0,0,,,0,,0,0,0,0,0,,,NEW SINGLE FAMILY DWELLING (3681 SQ FT) W/ ATTACHED GARAGE (1596 SQ FT),37.559009,-120.997660,,80
7,STANISLAUS COUNTY,Stanislaus,2020,,045-072-024,4616,PRISCILLA,BLD2019-1498,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-01-14,1,0,N,0,0,,,0,,0,0,0,0,0,,,SINGLE FAMILY DWELLING ( 2059 SF - 3BD / 2 BA ) W/ ATTACHED GARAGE - BONITA RANCH VI LOT 118,37.559009,-120.997660,,82.609999999999999
8,STANISLAUS COUNTY,Stanislaus,2020,,045-072-070,5308,AMARYLLIS,BLD2019-1502,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-27,1,0,N,0,0,,,0,,0,0,0,0,0,,,SINGLE FAMILY DWELLING ( 2536 SF - 4BD / 3 BA - LOFT OPTION ) W/ ATTACHED GARAGE - BONITA RANCH VI LOT 74,37.559009,-120.997660,,82.609999999999999
9,STANISLAUS COUNTY,Stanislaus,2020,,048-037-067,1217,ELFERS,BLD2019-2836,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-08-06,1,0,0,0,0,0,0,0,0,0,0,1,2020-12-18,1,0,N,0,0,,,0,,0,0,0,0,0,,,SINGLE FAMILY DWELLING W/ ATTACHED GARAGE,37.559009,-120.997660,,82.609999999999999
10,STANISLAUS COUNTY,Stanislaus,2020,,024-050-031,4016,ST SIMON WAY,BLD2019-2900,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-05,1,0,0,0,0,0,0,0,0,0,0,1,2020-08-27,1,0,N,0,0,,,0,,0,0,0,0,0,,,SINGLE FAMILY DWELLING 2310 SF W/ 4 BEDROOMS & GYM W/ ATTACHED GARAGE 489 SF   C/S LESTER AVE,37.559009,-120.997660,,82.609999999999999
