NEIGHBOURHOOD FULL CENSUS PROFILE NAME,HDNUM,HDNAME,TSNS DESIGNATION
Neighbourhood - 1  (West Humber-Clairville) 00000 (  3.8%),1,West Humber-Clairville,Not an NIA or Emerging Neighbourhood
Neighbourhood - 2  (Mount Olive-Silverstone-Jamestown) 00000 (  5.8%),2,Mount Olive-Silverstone-Jamestown,Neighbourhood Improvement Area
Neighbourhood - 3  (Thistletown-Beaumond Heights) 00000 (  4.8%),3,Thistletown-Beaumond Heights,Neighbourhood Improvement Area
Neighbourhood - 4  (Rexdale-Kipling) 00000 (  5.5%),4,Rexdale-Kipling,Not an NIA or Emerging Neighbourhood
Neighbourhood - 5  (Elms-Old Rexdale) 00000 (  3.0%),5,Elms-Old Rexdale,Neighbourhood Improvement Area
Neighbourhood - 6  (Kingsview Village-The Westway) 00000 (  5.7%),6,Kingsview Village-The Westway,Neighbourhood Improvement Area
Neighbourhood - 7  (Willowridge-Martingrove-Richview) 00000 (  2.2%),7,Willowridge-Martingrove-Richview,Not an NIA or Emerging Neighbourhood
Neighbourhood - 8  (Humber Heights-Westmount) 00000 (  3.4%),8,Humber Heights-Westmount,Emerging Neighbourhood
Neighbourhood - 9  (Edenbridge-Humber Valley) 00000 (  3.4%),9,Edenbridge-Humber Valley,Not an NIA or Emerging Neighbourhood
Neighbourhood - 10  (Princess-Rosethorn) 00000 (  1.8%),10,Princess-Rosethorn,Not an NIA or Emerging Neighbourhood
Neighbourhood - 11  (Eringate-Centennial-West Deane) 00000 (  1.6%),11,Eringate-Centennial-West Deane,Not an NIA or Emerging Neighbourhood
Neighbourhood - 12  (Markland Wood) 00000 (  1.7%),12,Markland Wood,Not an NIA or Emerging Neighbourhood
Neighbourhood - 13  (Etobicoke West Mall) 00000 (  2.6%),13,Etobicoke West Mall,Not an NIA or Emerging Neighbourhood
Neighbourhood - 15  (Kingsway South) 00000 (  2.2%),15,Kingsway South,Not an NIA or Emerging Neighbourhood
Neighbourhood - 16  (Stonegate-Queensway) 00000 (  2.9%),16,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood
Neighbourhood - 18  (New Toronto) 00000 (  5.4%),18,New Toronto,Not an NIA or Emerging Neighbourhood
Neighbourhood - 19  (Long Branch) 00000 (  5.6%),19,Long Branch,Not an NIA or Emerging Neighbourhood
Neighbourhood - 20  (Alderwood) 00000 (  3.8%),20,Alderwood,Not an NIA or Emerging Neighbourhood
Neighbourhood - 21  (Humber Summit) 00000 (  6.3%),21,Humber Summit,Neighbourhood Improvement Area
Neighbourhood - 22  (Humbermede) 00000 (  3.5%),22,Humbermede,Neighbourhood Improvement Area
Neighbourhood - 23  (Pelmo Park-Humberlea) 00000 (  2.7%),23,Pelmo Park-Humberlea,Not an NIA or Emerging Neighbourhood
Neighbourhood - 24  (Black Creek) 00000 (  2.9%),24,Black Creek,Neighbourhood Improvement Area
Neighbourhood - 25  (Glenfield-Jane Heights) 00000 (  4.1%),25,Glenfield-Jane Heights,Neighbourhood Improvement Area
Neighbourhood - 27  (York University Heights) 00000 (  5.6%),27,York University Heights,Neighbourhood Improvement Area
Neighbourhood - 28  (Rustic) 00000 (  2.7%),28,Rustic,Neighbourhood Improvement Area
Neighbourhood - 29  (Maple Leaf) 00000 (  5.2%),29,Maple Leaf,Not an NIA or Emerging Neighbourhood
